Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
2021-01-22T16:58:55.769+0800: 0.884: [GC (Allocation Failure) [PSYoungGen: 9712K->1008K(9728K)] 22028K->13958K(31744K), 0.0013013 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.788+0800: 0.903: [GC (Allocation Failure) [PSYoungGen: 9712K->1008K(9728K)] 22662K->14606K(31744K), 0.0016317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.811+0800: 0.926: [GC (GCLocker Initiated GC) [PSYoungGen: 9712K->1024K(9728K)] 23317K->15283K(31744K), 0.0027574 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.850+0800: 0.965: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 23993K->16012K(31744K), 0.0017161 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.856+0800: 0.971: [GC (Metadata GC Threshold) [PSYoungGen: 2162K->1009K(9728K)] 17150K->16162K(31744K), 0.0014929 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.857+0800: 0.972: [Full GC (Metadata GC Threshold) [PSYoungGen: 1009K->0K(9728K)] [ParOldGen: 15153K->6543K(22016K)] 16162K->6543K(31744K), [Metaspace: 20571K->20571K(1067008K)], 0.0311372 secs] [Times: user=0.16 sys=0.00, real=0.03 secs] 
2021-01-22T16:58:55.898+0800: 1.013: [GC (GCLocker Initiated GC) [PSYoungGen: 8704K->352K(9728K)] 15248K->6896K(31744K), 0.0007751 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.903+0800: 1.018: [GC (Allocation Failure) [PSYoungGen: 9056K->352K(9728K)] 15604K->6900K(31744K), 0.0007990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.909+0800: 1.024: [GC (Allocation Failure) [PSYoungGen: 9056K->446K(9728K)] 15604K->6995K(31744K), 0.0008048 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.942+0800: 1.057: [GC (Allocation Failure) [PSYoungGen: 9150K->839K(9728K)] 15699K->7460K(31744K), 0.0016398 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
